annual_income,loan_amount,loan_term_months,credit_score,autopay_enrolled,target
35737.36,29090.69,36,630,no,1
71229.45,25095.06,48,632,yes,0
74660.62,35059.02,24,456,no,1
60474.84,23808.74,24,570,yes,1
96562.86,45871.47,36,672,yes,0
82774.33,60210.73,36,828,no,0
57085.4,61938.7,24,686,no,0
55670.01,28375.94,24,593,yes,1
89739.9,47880.54,24,638,yes,1
48026.21,15120.09,48,440,no,1
40213.34,13420.26,48,569,no,1
85516.33,39800.05,36,537,yes,1
67771.24,55039.76,48,744,no,1
81412.24,71058.1,48,826,yes,0
39685.65,18245.43,24,447,no,0
43932.18,18433.45,36,537,no,0
36743.79,8313.65,24,352,no,1
116043.46,71200.81,24,698,yes,0
94429.72,75039.13,72,825,yes,1
103157.17,44923.7,72,545,yes,1
93940.93,69332.87,60,775,no,0
94021.95,57004.38,24,798,yes,1
107898.46,71779.02,72,718,no,1
102463.01,31103.82,48,554,no,1
118710.53,25308.95,60,550,yes,1
91012.19,62079.39,60,823,yes,0
66206.69,55036.39,24,658,no,0
73137.86,51830.45,48,645,no,1
119145.42,43192.18,84,672,no,1
96064.19,82681.05,36,849,yes,0
110251.73,68205.26,36,826,no,0
63494.97,16613.3,24,463,no,1
36115.85,10104.01,24,603,yes,1
30064.0,14456.99,36,344,no,1
76290.51,46346.43,24,442,yes,0
86119.62,41093.94,36,612,no,0
89287.83,71338.11,60,761,yes,0
70260.75,52198.32,60,622,no,0
37555.4,17951.16,36,450,no,0
97782.25,73321.33,24,624,yes,1
101867.17,32546.86,36,576,no,1
81990.08,40148.41,48,627,yes,0
64507.69,25428.31,72,489,no,1
64236.57,27723.26,24,423,no,1
36100.04,21712.1,84,562,no,0
79338.88,29535.76,48,518,yes,0
71446.23,20263.72,36,472,yes,1
96052.43,43691.32,84,621,no,1
35098.5,13591.83,36,407,no,0
82279.74,45558.69,60,725,no,0
99096.75,89687.82,60,834,yes,0
50769.69,25488.83,60,597,no,1
69154.9,40639.53,84,695,yes,1
101835.38,75299.68,84,823,yes,1
119175.49,74237.45,60,847,yes,0
106351.12,69950.33,24,773,yes,0
117809.47,44008.03,24,525,yes,0
99696.38,57772.16,24,696,yes,0
102856.41,64296.0,36,601,no,0
108812.35,76042.0,36,700,yes,0
63804.94,22268.13,24,517,no,0
75484.84,25447.32,36,484,no,1
92876.27,83554.84,48,694,no,0
47545.37,24220.58,36,420,yes,1
25366.69,7359.11,72,608,yes,1
68930.0,22966.21,48,493,no,0
54207.54,37343.28,36,604,no,1
70318.71,33955.86,84,527,yes,1
39774.52,15133.1,24,548,yes,1
77537.96,33254.34,48,682,yes,0
41731.73,21752.03,48,621,no,0
87661.36,51436.0,24,541,yes,1
82456.44,57372.83,24,830,yes,0
87222.48,61244.7,36,763,yes,0
59131.48,24233.96,60,690,no,1
64245.14,21995.76,84,558,yes,1
43800.44,25322.68,84,565,no,1
119264.02,82084.43,60,812,yes,0
41300.58,22461.98,36,355,no,1
79669.59,51696.47,36,668,no,0
81897.7,79805.64,48,781,no,0
36078.42,22359.76,24,537,yes,0
29589.18,11955.09,60,625,no,1
117946.09,68338.79,48,826,yes,0
52233.26,20751.25,24,503,yes,0
55295.76,29354.9,24,542,no,1
57729.36,12422.44,36,482,no,0
88678.83,61087.83,84,792,yes,1
88085.28,62036.97,24,679,no,0
47845.32,18646.53,24,513,yes,0
70266.66,28278.73,24,662,yes,1
119680.81,75639.17,36,674,yes,0
90376.94,53185.84,24,664,yes,1
108215.95,26970.02,24,558,no,0
58293.61,56199.76,48,739,yes,1
31456.01,12705.44,36,564,no,0
38466.37,14213.72,36,428,yes,0
37390.83,15271.44,48,352,yes,1
69912.33,39333.51,24,546,yes,1
108504.37,54730.06,36,604,no,0
77171.36,54234.97,36,660,yes,1
109581.18,70898.72,24,702,yes,1
117593.85,58790.55,36,657,yes,1
82859.83,42081.75,48,587,no,0
26220.81,10618.64,84,509,yes,0
30938.09,16587.95,24,465,no,1
76789.01,63884.38,60,718,yes,0
80288.48,46798.82,72,508,no,1
113113.12,50628.86,36,541,no,1
73791.49,87519.28,60,721,yes,1
82074.65,48305.62,48,677,yes,0
91719.33,81655.11,24,754,yes,1
98977.62,85495.31,48,780,yes,1
25566.96,7130.08,84,305,no,0
119079.37,64520.85,60,632,yes,0
90378.98,69448.03,36,848,no,1
95189.18,32707.72,60,612,yes,1
46541.05,14980.97,24,518,no,1
104139.32,74151.16,72,729,yes,0
74757.74,40120.54,48,511,yes,0
51947.37,21048.27,48,423,no,0
111841.23,85211.19,72,697,yes,1
65001.92,13999.19,84,550,yes,0
62266.48,27034.86,72,551,yes,1
98031.8,53472.18,48,743,no,1
62362.03,31941.96,24,481,yes,0
46800.06,23049.75,48,508,no,1
50627.0,19771.75,72,590,yes,1
87514.4,69233.23,48,718,yes,0
28593.07,8084.38,48,372,no,1
62804.68,23154.28,24,566,yes,0
71256.81,33318.79,60,433,no,1
81521.89,56244.18,72,712,yes,1
86244.94,46960.01,84,711,yes,1
105101.52,35734.11,72,535,yes,0
43676.61,35046.31,84,625,yes,0
69600.26,19262.53,24,552,no,0
118095.91,48838.32,48,565,yes,1
93642.63,72008.39,60,840,yes,1
98939.8,81939.92,36,630,no,0
65601.94,21839.02,24,608,yes,0
35737.36,29090.69,36,630,no,0
59835.61,78877.98,36,713,yes,0
69445.18,38617.74,24,706,yes,0
31547.75,22899.47,48,638,yes,1
65538.01,67305.37,36,674,no,0
61314.4,22399.61,48,447,yes,0
108817.67,70334.05,36,713,yes,0
37507.64,18533.49,24,374,yes,1
83935.24,55927.27,60,722,yes,0
44182.31,22929.52,36,374,no,0
25644.63,9261.81,24,325,no,0
85630.9,50780.91,24,726,yes,1
45441.81,26765.07,36,570,no,1
74011.73,34407.01,24,585,yes,1
42758.84,17771.75,36,317,no,0
59125.87,39026.92,48,738,yes,0
91196.32,48494.15,24,518,yes,1
52681.94,28473.41,72,470,yes,1
83251.06,68768.09,36,789,yes,0
77386.48,31445.62,24,668,yes,1
73367.02,50561.87,48,623,yes,0
103579.2,62687.58,84,755,yes,1
65518.19,51940.64,48,695,no,0
73333.28,40499.12,24,492,no,1
87462.04,19764.63,24,571,yes,1
73501.53,37214.98,36,600,yes,1
59408.44,17070.02,60,598,yes,1
116115.99,84525.3,48,714,yes,0
103778.27,79700.9,48,640,yes,0
55025.61,23161.18,36,413,no,0
65325.76,48109.29,72,674,no,0
85752.47,71097.72,84,745,yes,0
92283.08,71438.82,36,643,no,1
103390.33,71016.56,36,606,no,0
101287.43,70198.21,60,758,yes,1
54987.68,17657.82,48,507,no,0
105278.8,48869.99,24,533,yes,1
85591.49,55416.65,48,617,yes,0
95435.9,55621.88,60,770,yes,1
85633.06,45552.45,24,546,yes,1
74363.8,40837.6,24,522,no,1
92824.63,51894.73,48,545,no,0
91685.75,69002.08,84,844,yes,1
27507.06,20892.23,24,608,yes,1
114990.57,37477.89,36,591,no,0
86035.41,56158.1,48,607,no,0
37495.82,14360.22,24,616,yes,0
62117.06,21389.62,60,596,yes,0
53537.12,59368.08,24,666,yes,0
91403.94,45599.76,36,736,no,0
56090.93,60779.51,60,700,yes,0
41429.75,15649.42,72,320,no,1
30604.74,16652.37,48,521,yes,0
77026.51,82250.96,24,742,yes,0
109321.9,68182.72,24,711,yes,1
31968.82,12736.47,36,574,yes,0
36073.22,16004.31,84,316,no,1
117570.97,58357.19,24,730,no,0
98684.8,70186.18,36,609,yes,1
118296.42,84171.82,24,848,yes,0
83753.92,64526.68,60,719,yes,0
78023.56,54136.17,36,623,yes,1
58467.78,46893.43,24,633,yes,0
87071.57,75785.16,36,722,yes,1
108824.97,71022.57,36,833,yes,1
53852.25,64565.97,36,736,yes,1
89225.38,81522.73,36,718,no,1
108562.5,70024.94,48,642,yes,1
88924.97,63889.43,36,606,yes,0
47344.96,28178.57,36,318,no,1
76409.43,33142.3,36,605,yes,0
94845.05,64187.83,48,693,yes,0
60000.76,17687.93,48,617,yes,0
27200.46,15613.18,72,381,no,1
31863.69,9260.1,36,327,no,1
101274.39,23430.91,72,511,no,1
84710.36,57169.75,60,717,no,0
88508.34,85812.88,24,657,yes,0
56850.03,22096.0,72,427,yes,1
31989.25,15247.53,60,396,no,1
45064.99,19023.87,24,639,no,0
47460.95,23695.46,84,467,yes,1
93272.22,78901.27,24,817,yes,1
73258.0,47117.58,48,605,no,0
91154.62,39640.13,48,584,yes,0
84473.48,56886.36,72,754,yes,1
83439.21,53398.28,24,814,yes,0
91036.18,47552.69,36,745,yes,0
54389.52,32577.78,36,734,yes,0
36586.77,14577.11,36,449,no,1
32421.62,8504.64,36,599,no,1
96444.99,60734.39,36,846,yes,1
68609.83,41875.5,60,745,no,0
72424.31,78993.73,60,670,yes,1
37994.61,13748.26,36,626,yes,1
46465.26,12474.81,36,566,yes,1
85165.78,83440.86,24,758,no,0
101194.68,68039.86,36,777,yes,1
40544.59,14913.97,72,626,yes,1
55039.21,55571.34,36,701,yes,0
78908.03,53399.43,36,707,no,0
57460.86,53782.44,24,749,yes,0
108104.6,75152.29,36,710,yes,1
72604.74,41955.49,24,629,no,0
107300.4,53642.99,48,548,yes,0
103050.35,36548.07,48,535,yes,1
88300.12,73578.91,48,847,yes,1
107573.06,49837.69,36,515,yes,0
99051.35,45849.26,36,539,no,0
98153.91,84327.29,36,736,yes,1
105989.21,76617.55,36,840,yes,0
80450.63,32101.73,48,554,no,0
36078.42,22359.76,24,537,yes,1
91913.99,44811.01,24,733,no,0
39643.0,17765.66,48,646,yes,0
85014.09,30856.02,24,679,yes,1
58531.07,13661.04,36,439,yes,1
30961.26,7079.76,36,407,no,0
96264.23,57742.04,36,795,no,0
46273.4,17677.13,24,425,no,1
63045.73,61587.72,36,677,no,0
92453.77,50485.09,84,718,yes,1
104857.7,42095.03,36,585,yes,0
65272.45,30162.37,72,684,no,1
105124.33,79268.46,48,802,yes,0
79049.79,42155.82,24,741,yes,0
59813.04,48270.45,24,718,yes,0
55152.4,25284.91,24,573,no,0
75053.12,37624.44,24,579,yes,1
91906.01,74401.55,48,663,yes,0
89712.65,42188.91,24,541,no,1
93289.81,24255.19,48,559,yes,1
75295.72,85859.31,48,700,no,1
58366.45,22629.9,48,495,no,0
84480.45,80028.98,60,711,no,0
99653.64,21306.46,24,536,yes,1
102186.98,82825.12,48,831,yes,0
70417.51,44624.33,48,709,yes,0
63412.56,16570.61,48,458,no,1
106438.64,67344.47,36,724,no,1
40534.9,14620.27,36,585,no,0
50501.43,18081.52,84,402,yes,1
45190.85,11371.04,60,579,no,1
66881.93,36985.19,24,629,no,1
75406.52,26255.27,36,412,no,0
44432.19,23709.25,24,333,no,1
83251.06,68768.09,36,789,yes,1
77008.41,61598.48,48,636,yes,0
93595.92,58563.19,60,806,yes,1
80695.4,21182.25,24,547,yes,1
53710.07,30404.67,48,629,yes,0
109977.8,72166.09,48,682,yes,0
65776.81,36396.12,36,508,no,1
94798.99,54402.68,24,800,yes,0
111420.0,71798.63,48,661,yes,0
81285.95,32828.37,84,538,no,1
28619.57,23162.74,36,640,no,0
80448.61,69887.6,72,808,yes,1
72182.14,27736.8,36,542,yes,1
38073.88,11009.41,24,305,no,0
28784.72,20030.36,60,627,yes,1
37163.39,14345.71,36,599,yes,0
47058.1,31949.34,24,616,no,0
105353.23,58938.62,48,775,yes,0
26616.43,11579.2,72,593,no,1
76122.75,60868.51,48,690,yes,0
48013.22,17370.77,48,644,no,0
70053.97,68093.39,36,694,yes,0
89613.44,58848.11,60,762,no,0
52689.67,46166.61,24,651,no,0
30082.34,11452.84,48,343,yes,0
119639.68,69036.38,24,760,yes,0
47368.77,16476.08,60,314,no,1
83880.9,52523.75,60,790,yes,0
91704.42,52490.03,24,705,yes,1
114309.49,84292.04,24,807,yes,0
111490.71,67933.44,72,750,yes,1
50147.49,17401.25,24,584,no,0
105990.85,55923.19,24,617,yes,1
102535.12,72111.22,84,816,no,1
27362.19,13371.63,60,381,no,1
34682.26,9546.18,36,389,yes,1
112909.66,52665.52,36,518,no,1
45309.02,19029.14,48,588,no,1
27267.24,17301.83,72,397,yes,0
94448.33,66209.28,36,786,yes,0
92479.64,68860.01,24,691,yes,1
63996.18,26440.39,48,525,yes,1
88928.8,84614.79,48,792,yes,1
104944.41,66221.77,36,804,no,0
78585.94,29733.89,24,675,yes,0
55701.24,33171.87,24,674,no,0
95931.69,30149.07,24,624,no,0
86909.8,56143.41,36,750,no,0
104483.58,54342.84,48,690,yes,0
94004.88,34496.34,84,607,yes,0
37593.41,12165.78,24,562,yes,1
67797.59,15258.4,36,444,no,0
113801.53,76062.14,36,634,no,0
37655.77,10956.15,24,414,no,0
109587.38,76213.97,24,842,yes,0
75935.75,79148.6,24,712,yes,1
42774.11,16157.11,24,396,yes,1
99664.41,53751.78,36,604,yes,0
90628.7,39244.89,36,594,yes,0
76557.38,51961.51,48,685,yes,0
109914.34,77202.1,72,627,yes,0
84258.56,74309.75,60,849,yes,0
57329.82,57820.31,36,663,no,0
108645.22,80712.73,24,784,yes,1
116672.92,89067.14,36,833,yes,1
90969.76,58676.05,24,734,no,1
63535.65,53226.65,36,674,yes,1
84432.24,50796.41,72,789,yes,0
56380.3,11330.54,60,587,yes,1
104173.87,62667.22,24,826,no,0
108211.7,58837.36,24,773,yes,0
81240.43,49920.58,24,611,no,1
31998.31,7395.47,60,495,no,0
57670.83,24188.31,24,428,no,0
114821.37,70223.23,60,795,yes,0
33473.17,11098.65,48,601,no,0
104158.59,68142.7,36,661,yes,1
48138.25,23266.95,36,310,yes,1
85844.98,84454.79,24,721,yes,0
92445.4,83942.75,36,805,no,0
40080.63,12446.14,24,536,yes,1
61112.51,19313.84,60,589,yes,1
72775.37,38084.25,84,444,no,1
99395.89,68419.25,48,843,yes,0
94256.76,83120.66,24,833,yes,0
100371.58,46435.74,72,573,no,1
106569.78,83339.39,24,765,yes,0
57047.15,16763.09,72,558,no,1
75641.9,27361.65,24,574,yes,1
29367.16,9720.93,24,547,yes,1
89906.5,52309.44,48,712,yes,0
97898.88,46351.93,36,664,no,1
119291.79,30403.16,24,503,no,0
49626.71,25088.79,24,371,no,0
114693.22,67651.5,60,773,yes,0
96600.06,53380.4,36,780,yes,0
98222.84,74310.56,24,650,yes,0
65200.69,47860.59,24,730,yes,1
116243.8,36635.82,84,559,no,1
107837.04,69825.45,36,764,yes,0
30283.8,13198.41,48,441,no,1
50406.01,19514.77,48,449,yes,1
116442.95,74302.21,36,786,yes,0
88457.51,69553.15,36,648,no,0
95596.81,62679.39,48,603,no,0
86093.64,49113.35,48,702,yes,0
85959.41,37590.1,24,517,yes,0
65627.96,67315.55,36,700,yes,1
93071.76,62520.74,60,716,yes,0
92097.54,56586.82,48,722,yes,0
75009.05,83185.07,36,701,yes,0
112804.95,89036.99,72,763,yes,1
84024.81,66255.72,36,649,no,0
104623.84,38714.12,24,539,yes,1
69799.03,28776.93,60,563,yes,1
112870.31,50057.69,72,728,yes,1
33642.02,19072.83,24,390,yes,0
