annual_income,loan_amount,loan_term_months,credit_score,autopay_enrolled,target
64145.06,51899.32,60,655,yes,1
54954.9,21620.99,24,496,yes,1
67459.08,87950.93,24,720,yes,1
27747.38,5800.8,24,482,no,1
25622.54,8938.37,24,487,yes,1
91005.5,80025.15,84,789,no,1
57670.76,30406.18,60,692,yes,1
55192.91,74775.68,48,702,yes,1
98787.12,22939.09,60,578,no,1
70832.56,27065.88,84,440,yes,1
112979.42,38977.05,48,509,no,1
48442.4,22048.08,72,474,yes,1
61871.01,17435.91,48,523,yes,1
109899.69,64369.26,36,767,yes,1
39786.97,11305.72,48,413,yes,1
111821.68,77435.21,24,830,yes,1
99018.87,84873.13,36,780,yes,1
33212.91,7647.84,84,587,no,1
62550.06,37095.28,72,626,yes,1
101201.02,86722.1,36,813,yes,1
63725.69,49016.89,36,664,yes,1
89642.08,39853.78,24,662,no,1
33733.23,7184.39,24,516,yes,1
95925.75,55878.37,60,508,yes,1
105427.9,43503.03,84,635,yes,1
33721.99,12969.48,48,333,yes,1
99654.99,67981.4,48,757,yes,1
25907.17,14151.0,24,590,yes,1
48139.84,13191.39,48,471,no,1
40760.05,14909.29,72,533,yes,1
83426.31,50290.05,24,504,yes,1
31862.82,8553.62,72,314,no,1
96697.56,89620.69,36,688,no,1
32991.72,15428.25,72,363,no,1
94890.24,66235.07,36,673,no,1
61162.21,29961.59,24,430,yes,1
85690.44,45721.49,24,581,no,1
45646.15,18892.74,60,527,no,1
77045.68,26337.87,48,423,no,1
57328.88,41920.62,48,605,yes,1
110664.79,43514.31,48,616,yes,1
68578.21,39386.61,84,596,yes,1
88583.98,46323.11,48,573,no,1
109170.14,73808.63,72,658,yes,1
107504.5,61340.26,24,778,yes,1
48236.95,14506.56,72,635,yes,1
98286.93,71909.99,48,756,no,1
58275.49,17737.5,36,566,yes,1
49094.31,25100.47,24,345,yes,1
74579.24,42173.18,36,429,yes,1
89565.17,46319.17,36,500,no,1
31539.96,19135.26,48,483,no,1
77651.4,42778.4,48,482,no,1
99295.67,83795.48,24,824,yes,1
26726.76,9417.49,60,504,no,1
109120.23,36187.61,72,580,yes,1
58880.1,28314.01,60,484,no,1
51088.19,12663.34,36,599,no,1
53677.58,32535.98,36,542,yes,1
50973.16,29620.78,60,500,no,1
79450.57,34620.84,72,594,yes,1
76869.76,26079.35,72,412,yes,1
92340.19,59117.79,24,837,yes,1
109164.7,41919.88,36,685,no,1
43589.43,16245.49,72,551,yes,1
111372.17,55889.06,36,724,no,1
77011.68,33846.11,24,680,no,1
33117.31,16209.06,72,428,no,1
39311.03,19194.19,36,427,yes,1
58612.66,35029.46,24,570,yes,1
42379.22,21340.53,24,349,yes,1
87329.18,76108.01,36,770,yes,1
34131.12,8544.76,24,396,no,1
31725.49,19234.2,48,481,no,1
98756.19,21357.06,72,560,no,1
50152.88,40913.06,84,706,no,1
72035.73,27692.03,24,558,yes,1
96588.01,78203.65,36,744,yes,1
113544.67,89215.87,84,818,yes,1
38781.05,8789.88,72,560,no,1
104144.72,35933.14,24,501,no,1
59980.4,37859.79,36,608,yes,1
67784.67,30354.99,24,639,yes,1
112679.76,59367.27,36,542,yes,1
111525.75,34129.55,48,504,yes,1
119133.18,44412.58,48,654,yes,1
60157.76,23498.76,36,472,yes,1
94946.24,77872.72,60,705,no,1
26006.1,12305.69,84,481,yes,1
60705.04,26013.82,84,425,yes,1
40043.92,23154.9,60,450,no,1
111391.86,71909.94,60,769,yes,1
44507.33,19219.3,72,486,no,1
84809.46,20028.08,24,503,no,1
84965.08,57423.98,36,740,yes,1
76511.99,74846.45,36,720,yes,1
117125.67,37075.63,24,605,no,1
73302.18,35004.47,24,569,yes,1
115383.96,46255.64,72,506,no,1
60680.28,18946.07,36,496,no,1
110256.51,86336.89,48,684,yes,1
29881.69,13094.67,24,612,no,1
102407.62,36576.96,36,536,no,1
78978.74,28406.86,36,520,no,1
110399.26,61921.29,48,722,no,1
104265.07,50608.79,36,595,yes,1
109538.75,55530.25,36,733,yes,1
91975.81,61349.87,48,828,yes,1
60493.68,30330.24,60,527,no,1
57270.42,69379.16,36,744,yes,1
111404.4,65015.03,36,639,no,1
59902.93,39732.83,24,735,no,1
71807.35,29457.91,36,405,no,1
97459.64,43411.98,48,614,yes,1
85642.45,65366.7,48,653,no,1
71256.81,33318.79,60,433,no,1
68466.58,30831.43,36,461,yes,1
68228.4,22536.19,72,510,no,1
85633.06,45552.45,24,546,yes,1
103082.85,52598.8,72,562,yes,1
118129.03,85479.32,48,689,yes,1
57985.45,36352.37,36,636,yes,1
89334.77,39899.19,24,661,no,1
78630.88,71020.01,48,727,yes,1
97792.04,81125.21,84,813,yes,1
91239.41,24447.94,48,591,no,1
115147.32,85095.05,24,807,yes,1
112534.59,79195.81,36,821,yes,1
95684.88,30417.55,60,567,no,1
97889.86,70607.23,24,711,no,1
72057.58,23363.94,60,615,no,1
114395.27,77477.32,60,755,yes,1
109775.73,71037.1,48,807,yes,1
93300.78,45324.63,72,518,no,1
107736.63,53090.83,84,682,no,1
29639.01,7771.33,72,577,no,1
75236.28,45069.23,24,636,yes,1
31445.81,16540.17,24,541,yes,1
59275.68,30742.69,72,427,yes,1
116255.84,89127.9,24,638,yes,1
82403.32,38925.74,24,562,no,1
75571.19,23637.58,24,471,yes,1
85898.38,85318.86,36,747,no,1
33174.15,16318.88,24,492,yes,1
111105.62,56920.07,72,601,yes,1
98799.96,22300.37,60,554,yes,1
59726.38,14097.0,24,559,no,1
34719.32,19071.46,24,616,yes,1
37026.72,8576.06,72,454,no,1
64204.62,21499.95,84,621,no,1
39201.29,21358.78,72,350,yes,1
35672.76,16154.77,24,438,yes,1
48530.51,26907.4,24,339,no,1
110713.01,77544.22,24,630,no,1
84510.25,47094.07,84,743,no,1
62712.98,27755.54,24,667,no,1
112880.1,69470.36,24,631,yes,1
96109.84,49708.66,48,611,yes,1
57620.02,12238.01,36,495,yes,1
38569.11,19940.41,84,438,no,1
81415.9,75558.36,84,765,yes,1
84032.84,41841.03,24,697,yes,1
26884.46,5451.82,84,440,yes,1
106294.87,55366.47,24,702,no,1
29366.33,22604.95,36,628,yes,1
109009.85,50296.03,36,615,yes,1
69969.76,21803.99,24,415,yes,1
84234.55,41711.99,84,590,no,1
36394.58,14556.41,84,393,yes,1
116574.2,86396.55,60,619,no,1
64737.83,58017.68,84,693,yes,1
68121.3,31260.71,24,535,no,1
65556.91,17684.86,36,521,no,1
89395.32,75399.66,36,785,yes,1
119724.41,31211.14,84,513,yes,1
113504.55,84811.78,84,650,yes,1
90665.84,35263.52,36,501,yes,1
77060.91,66038.6,72,677,yes,1
51145.38,29732.04,24,433,yes,1
97369.59,87298.72,36,731,yes,1
49256.46,27392.9,24,487,no,1
97821.18,44001.55,24,548,no,1
96136.51,51342.07,36,524,no,1
32207.5,10160.88,36,393,no,1
112860.57,44070.15,36,682,no,1
51708.14,38024.46,48,603,no,1
78304.31,32288.55,36,613,yes,1
52228.9,17353.05,24,495,no,1
97380.69,53258.41,60,588,yes,1
82930.99,67242.43,36,750,yes,1
68239.21,39275.7,84,654,yes,1
30180.01,9842.6,36,532,yes,1
84857.79,37104.48,36,543,yes,1
92011.43,75193.09,24,711,no,1
90409.97,73901.83,36,816,yes,1
51049.16,17220.93,36,544,yes,1
68094.71,14030.74,24,427,no,1
35143.79,10863.62,24,402,no,1
63526.13,34504.58,72,555,no,1
86044.44,37505.47,24,687,no,1
83980.58,54187.47,24,664,yes,1
60452.91,28577.23,48,637,no,1
97399.18,52348.07,60,523,yes,1
111404.06,82290.43,60,801,yes,1
29746.13,16225.17,72,346,no,1
49518.46,11402.52,24,585,yes,1
95963.28,82263.11,48,848,yes,1
92282.25,46190.99,48,735,yes,1
31396.65,10733.92,72,469,no,1
51140.8,47743.18,24,731,yes,1
59861.59,31717.33,72,672,yes,1
54935.31,21689.78,24,484,no,1
43383.69,20438.2,84,426,yes,1
28347.91,7139.97,84,586,yes,1
34661.27,16268.1,36,549,yes,1
112223.77,77669.41,48,850,no,1
106768.25,30436.44,60,574,no,1
109993.87,70277.35,60,634,yes,1
50809.96,22306.64,72,468,no,1
68308.34,36876.12,36,650,no,1
69043.91,33155.14,72,494,yes,1
29610.94,14136.31,24,519,no,1
94081.58,22679.14,60,529,no,1
85637.02,37767.7,36,541,no,1
102809.15,37563.28,36,562,yes,1
118959.97,39372.08,72,582,no,1
103494.15,75316.61,36,783,yes,1
55535.83,23465.71,48,509,no,1
87735.79,67977.8,72,766,yes,1
75003.9,48514.12,72,730,yes,1
65401.48,20230.69,36,469,no,1
87938.65,60611.58,84,749,yes,1
93495.03,48498.14,36,513,no,1
52152.75,21858.62,24,674,no,1
102326.48,20835.39,48,598,no,1
26564.8,13296.71,36,592,no,1
95202.89,67152.35,60,610,yes,1
71209.35,28991.37,84,443,no,1
42854.58,9002.42,24,367,no,1
59328.67,23194.15,36,686,yes,1
30524.61,9898.32,60,326,no,1
95600.34,39930.21,24,633,yes,1
25525.3,8202.78,36,376,yes,1
34863.59,14485.78,36,432,no,1
97442.63,32750.56,84,553,no,1
62010.22,39277.81,24,619,no,1
30543.62,15133.49,48,408,no,1
101711.54,82963.74,84,731,yes,1
78077.55,48108.06,84,750,yes,1
110131.17,63518.79,36,809,no,1
39910.13,11914.2,24,640,yes,1
64156.14,50447.84,84,633,yes,1
39985.99,22357.07,60,408,no,1
39929.46,24322.11,48,540,no,1
60953.35,28908.55,36,442,no,1
25084.52,8397.99,24,372,no,1
46355.56,20806.75,48,403,no,1
71753.44,19478.24,36,587,no,1
76352.99,58304.17,36,616,yes,1
88203.43,34969.91,84,506,yes,1
53399.33,26205.5,72,463,yes,1
74226.54,22640.42,24,500,yes,1
105024.5,65422.45,72,829,no,1
44840.39,20227.01,36,382,no,1
112815.98,70859.0,24,830,yes,1
106009.81,40026.63,24,639,yes,1
55283.08,30009.29,24,659,yes,1
114387.54,73575.33,24,768,yes,1
27239.88,15713.78,24,443,no,1
113180.82,84329.48,60,840,yes,1
48722.99,10793.48,72,419,no,1
76943.48,37902.6,24,511,yes,1
102079.15,76948.78,84,721,yes,1
67434.41,43020.99,24,701,no,1
105083.8,70280.22,24,823,yes,1
68174.43,42854.39,36,722,no,1
40861.55,25489.6,36,437,no,1
51031.94,20975.15,24,604,no,1
65807.99,56159.74,24,695,yes,1
77483.05,25690.79,36,590,yes,1
46539.65,10260.46,84,560,no,1
67045.85,30089.18,84,443,no,1
34052.42,18877.42,36,411,yes,1
28319.23,17142.04,24,539,no,1
107023.37,62632.03,72,760,no,1
55947.99,16166.34,60,426,no,1
64789.91,16779.51,60,556,yes,1
28605.32,11293.38,24,486,yes,1
57289.97,21978.91,48,416,yes,1
42603.56,25481.55,24,600,yes,1
63345.62,33819.15,24,515,no,1
79103.44,16713.41,36,545,yes,1
62047.12,39326.68,24,727,yes,1
113220.1,44924.89,84,517,yes,1
108884.54,69519.24,24,642,yes,1
89640.86,83436.71,84,696,no,1
49226.29,19901.54,24,305,yes,1
88109.7,88206.61,24,769,yes,1
38783.06,9691.28,84,427,no,1
113011.15,69116.65,24,752,yes,1
80862.89,74226.12,24,775,yes,1
35058.03,12240.11,60,419,no,1
80939.2,30748.94,84,611,yes,1
96610.22,21910.72,48,511,yes,1
49588.95,24494.17,48,428,yes,1
75334.43,49861.34,24,639,yes,1
31152.84,13337.96,24,458,no,1
97336.4,47570.7,72,532,yes,1
101976.87,70430.14,84,787,yes,1
88077.19,56415.25,36,748,no,1
69513.71,36639.69,60,650,yes,1
90765.32,39936.06,36,697,yes,1
85321.4,79826.36,24,758,yes,1
102441.91,62252.63,36,828,yes,1
57900.34,22662.16,72,410,yes,1
117942.81,77010.69,72,816,yes,1
114654.62,63096.24,24,760,yes,1
78579.05,19809.18,72,428,yes,1
108130.01,84054.06,24,728,yes,1
93375.42,57399.78,24,574,yes,1
38397.33,29401.85,24,636,yes,1
105030.69,52876.27,36,569,yes,1
117593.85,58790.55,36,657,yes,1
75618.07,42948.53,24,663,yes,1
112291.85,48743.6,24,673,yes,1
55196.75,27648.19,72,526,yes,1
113298.71,57583.27,36,621,yes,1
88720.0,54883.19,60,821,yes,1
50155.81,63585.72,24,727,no,1
119589.86,85149.69,48,693,yes,1
80172.34,71973.77,72,799,yes,1
84783.45,61418.29,36,689,no,1
107346.12,68092.24,36,824,yes,1
118499.71,66240.94,24,686,no,1
39678.34,16372.19,60,410,yes,1
30216.39,19226.21,48,587,no,1
81806.12,46172.22,36,571,no,1
101672.25,48000.81,24,540,yes,1
31962.75,8971.58,84,634,yes,1
35705.44,19352.97,36,472,no,1
99733.4,83875.88,36,827,no,1
60098.27,34341.82,72,667,no,1
60309.55,25142.46,60,509,no,1
63930.46,36286.42,60,524,no,1
95848.09,83040.53,60,726,yes,1
45280.95,17521.83,72,501,yes,1
100402.42,87562.36,36,653,no,1
48632.39,19069.4,36,476,no,1
94943.34,65437.14,36,657,no,1
96398.56,70861.47,24,705,no,1
38333.12,19314.04,24,474,yes,1
34721.93,14228.3,84,602,yes,1
105717.44,81368.46,24,834,yes,1
93452.42,88439.18,36,813,yes,1
70861.94,40256.77,72,528,no,1
25188.39,9727.74,36,562,yes,1
116634.25,73676.34,48,727,yes,1
119114.18,75110.67,24,701,yes,1
85545.41,44418.79,84,557,no,1
40682.63,18986.87,60,312,no,1
113575.79,62551.89,24,793,yes,1
106131.84,81761.97,72,687,no,1
78391.84,33527.48,72,571,no,1
92251.17,48700.99,60,519,yes,1
52854.3,29069.99,48,671,yes,1
91712.2,54556.85,24,836,yes,1
100807.48,34544.17,84,535,no,1
80592.84,33803.1,72,692,yes,1
104819.04,22492.43,60,584,no,1
88648.54,73988.94,24,799,no,1
64040.67,28375.12,36,477,yes,1
115709.79,68888.24,48,779,yes,1
91738.92,31611.01,24,518,no,1
77570.64,30340.09,60,492,no,1
81901.98,63723.95,60,704,no,1
90873.0,26204.76,24,577,no,1
59564.48,62580.75,84,700,yes,1
108057.92,74952.45,84,630,yes,1
84210.27,53529.49,36,800,yes,1
57640.78,21810.43,84,442,no,1
84091.4,63001.15,60,653,no,1
72300.41,31855.01,24,424,yes,1
68796.37,49729.95,24,647,yes,1
31729.31,10076.67,48,636,yes,1
68589.3,31384.03,72,412,yes,1
45084.3,17385.59,48,351,no,1
88810.26,48168.83,48,516,yes,1
70892.07,36344.1,24,653,yes,1
117135.46,56264.07,48,566,no,1
114557.06,68837.6,24,750,yes,1
64027.48,35089.77,24,731,yes,1
75144.55,57617.22,60,734,yes,1
107887.72,84706.63,36,813,yes,1
95830.07,85867.49,84,803,no,1
26466.91,5806.8,24,447,yes,1
39554.64,16533.29,60,446,no,1
110065.77,31755.22,24,509,yes,1
56800.44,17595.79,24,566,no,1
29853.44,23223.57,36,643,yes,1
118300.44,66949.32,36,777,no,1
99186.38,54247.36,24,798,yes,1
29472.56,6967.68,24,383,yes,1
52498.72,27583.79,84,621,yes,1
59249.03,34347.35,24,605,yes,1
31340.95,9115.09,60,379,no,1
56351.82,53832.85,48,715,yes,1
69515.7,28140.5,24,491,yes,1
118025.94,76706.51,36,756,yes,1
71705.57,40967.98,24,701,no,1
54571.42,33275.4,72,490,no,1
28343.61,16317.24,24,385,no,1
56444.78,24685.94,48,463,yes,1
41112.01,27363.82,72,640,yes,1
104125.3,74575.73,72,631,no,1
80887.82,41284.36,72,688,yes,1
30184.6,20585.15,72,630,no,1
33426.11,10550.7,60,342,no,1
26368.59,11385.91,24,506,yes,1
99755.86,71793.09,24,847,yes,1
47880.57,23397.25,72,340,no,1
54301.39,54962.89,48,746,yes,1
72917.62,41942.93,36,460,no,1
36134.91,20480.11,36,368,no,1
80155.12,39631.87,24,708,no,1
100765.07,60164.61,24,776,yes,1
65408.3,13703.76,48,560,yes,1
27169.97,5602.79,24,469,yes,1
77493.69,22415.21,24,405,yes,1
108715.08,40814.33,48,553,no,1
47066.27,22113.82,60,502,yes,1
113991.33,77921.74,72,782,yes,1
103471.56,81379.36,60,790,no,1
69655.88,48074.89,72,697,yes,1
56360.15,28016.58,72,560,no,1
65097.65,15721.89,48,554,no,1
82129.51,29646.81,72,697,no,1
76872.03,70604.69,24,703,no,1
113799.48,89205.0,36,742,no,1
116074.35,84567.55,36,845,yes,1
44199.75,20299.77,36,406,yes,1
71219.94,39631.58,36,601,yes,1
83816.59,55166.7,72,731,no,1
103557.19,78346.82,24,778,no,1
83856.75,29596.08,24,607,yes,1
62872.64,19931.03,24,538,no,1
87185.67,78618.21,84,782,yes,1
39318.13,19286.35,24,505,no,1
85977.98,32873.0,60,534,yes,1
84655.99,66286.14,24,843,yes,1
47392.79,16572.08,60,553,yes,1
87011.68,88003.27,24,839,yes,1
100933.93,43604.1,36,653,yes,1
32107.32,15527.57,72,339,no,1
107605.47,32497.66,24,633,no,1
110612.31,31281.77,36,561,no,1
54847.15,42554.68,84,611,yes,1
83649.62,41822.83,36,589,yes,1
36060.76,18808.09,72,550,yes,1
119135.61,36602.31,24,526,yes,1
51394.45,53691.65,36,749,yes,1
99106.07,56899.26,24,637,no,1
53169.45,12643.95,48,407,no,1
73748.26,28639.36,24,490,no,1
106208.25,82097.02,60,770,yes,1
30701.55,15780.94,24,458,yes,1
84712.98,75642.67,48,814,no,1
53637.24,22152.15,24,660,yes,1
90730.65,60640.88,36,815,yes,1
77889.94,23308.62,84,421,yes,1
37386.89,19163.58,72,371,no,1
32294.36,7470.95,24,399,no,1
40177.01,21593.39,60,437,yes,1
102222.46,21139.06,24,505,yes,1
71626.25,40498.46,84,408,yes,1
118818.91,85065.1,24,843,yes,1
92510.9,39893.89,24,672,yes,1
74236.78,16157.47,36,450,yes,1
83371.31,25818.46,48,642,yes,1
69233.27,19879.02,36,581,yes,1
61488.68,24570.44,84,648,no,1
70235.51,52088.47,24,613,no,1
49606.39,22955.63,48,357,yes,1
32259.63,25929.06,84,640,yes,1
104419.39,30998.1,36,593,no,1
70678.18,26965.46,84,474,no,1
102017.88,58990.29,36,728,yes,1
85637.15,58254.44,48,683,yes,1
50406.7,12325.6,48,500,yes,1
77985.26,21658.25,24,542,no,1
41387.91,22143.04,60,527,no,1
73415.02,35926.35,24,613,yes,1
116370.19,61265.08,84,625,no,1
113904.32,73530.31,60,746,yes,1
60300.78,48026.21,36,735,yes,1
109972.11,68327.54,24,808,yes,1
28928.88,9220.32,36,509,yes,1
35765.12,16822.45,48,443,no,1
32414.34,16251.26,60,478,no,1
97287.45,73749.54,84,704,yes,1
33568.72,9562.2,24,313,no,1
28535.4,6226.33,72,467,yes,1
96219.76,58135.61,24,834,yes,1
84805.29,50938.23,24,812,yes,1
117988.76,66713.63,24,753,yes,1
27089.16,7556.29,36,458,yes,1
33495.56,7202.44,36,507,no,1
118765.69,81166.35,24,717,yes,1
75647.7,22068.77,72,630,yes,1
92965.57,57476.94,24,825,yes,1
85292.87,63250.38,72,776,yes,1
108710.06,77372.81,36,844,yes,1
65947.58,65358.01,36,696,yes,1
49335.15,25788.95,60,574,no,1
28480.75,12417.9,36,343,yes,1
102838.55,67678.56,48,765,yes,1
87433.44,52005.56,24,608,no,1
78221.02,31513.69,24,596,yes,1
70135.93,16438.62,24,421,yes,1
73053.41,34884.92,72,493,no,1
53507.42,24708.96,60,623,yes,1
63985.59,17822.85,24,545,no,1
82114.46,66224.48,60,808,no,1
33086.62,12066.29,24,438,yes,1
107402.49,89432.43,24,783,yes,1
34179.42,23754.04,48,600,no,1
61881.71,62614.52,36,691,no,1
107923.23,65008.23,36,699,no,1
75295.72,85859.31,48,700,no,1
54917.27,57579.73,36,684,yes,1
66106.51,36018.41,36,684,no,1
64540.33,22062.29,84,604,yes,1
28398.86,6129.87,48,371,yes,1
105278.84,37523.31,24,608,yes,1
102863.88,73346.13,36,789,yes,1
25294.49,8991.04,24,637,yes,1
66055.67,50606.16,24,613,no,1
75985.08,40085.11,48,587,yes,1
92457.26,84440.88,72,821,yes,1
101723.03,67105.07,24,656,yes,1
57089.21,34525.5,48,719,yes,1
97383.88,54821.77,24,676,no,1
104851.62,70346.72,36,788,yes,1
113528.45,27902.57,84,543,yes,1
57576.88,69021.51,84,706,yes,1
91759.05,80922.97,36,808,yes,1
64562.46,18377.21,84,566,no,1
46628.2,14764.81,60,548,no,1
65968.96,19296.89,60,529,no,1
44770.85,14918.93,36,352,no,1
80325.69,81418.75,60,778,yes,1
76444.97,83252.46,24,738,yes,1
116633.13,79104.88,60,666,no,1
85300.91,67147.89,48,688,no,1
111937.12,81726.38,84,756,no,1
94206.09,81655.38,84,701,yes,1
97333.36,78660.79,84,649,no,1
68530.84,19044.32,24,556,yes,1
89038.3,50891.29,48,605,no,1
62881.48,51187.24,72,611,yes,1
50625.9,32524.95,72,749,no,1
82738.1,40315.43,84,502,no,1
29262.73,7833.42,24,431,yes,1
52946.6,45761.77,36,682,yes,1
33107.97,7298.13,24,325,yes,1
43349.9,46207.47,24,650,no,1
63735.62,34167.2,48,595,yes,1
100054.33,56409.7,72,756,yes,1
32280.59,13417.51,24,637,no,1
64499.5,16889.9,36,461,yes,1
99473.65,59434.72,84,811,yes,1
34439.92,21160.42,36,613,yes,1
113801.53,76062.14,36,634,no,1
88377.58,59463.43,24,627,no,1
29804.47,13289.43,24,347,yes,1
118940.56,80985.14,60,681,no,1
65378.43,41033.62,48,739,yes,1
67562.84,23272.05,72,412,no,1
70391.04,44009.94,60,560,no,1
28850.23,12899.96,24,512,yes,1
31812.86,14425.08,24,558,no,1
63601.72,45777.4,24,649,yes,1
96854.15,60183.93,24,656,yes,1
26721.35,12919.43,60,377,yes,1
72633.92,35225.3,84,653,no,1
53798.1,41151.44,24,610,yes,1
65507.54,21670.28,24,408,no,1
106372.69,87769.1,24,680,yes,1
